"fc","b","sim","BM_AICc_exp","OU_AICc_exp","WN_exp","Static_exp","BM_wt","OU_wt","WN_wt"
1,100,1203,-134.947162710784,-132.841577024694,-11.0988603162621,FALSE,0.741310840964002,0.258689159035998,9.47726860964058e-28
1,100,1204,-160.387768877247,-158.469981019842,-55.051338456425,FALSE,0.722900296580175,0.277099703419825,9.67304404643606e-24
1,100,1205,-126.751711572572,-124.632096561706,-2.94440581038477,FALSE,0.742653757622358,0.257346242377642,9.69106545533414e-28
1,100,1206,-190.750986861518,-188.624697358983,-31.4778106043582,FALSE,0.743291052552753,0.256708947447247,1.92942598469703e-35
1,100,1207,-203.579377113617,-201.453088067931,-4.06588646486119,FALSE,0.743291008967235,0.256708991032765,3.52658903208733e-44
1,100,1208,-133.85109790449,-131.870300081513,-16.9725319947272,FALSE,0.729166707636547,0.270833292363453,3.0406659980584e-26
1,100,1209,-145.32991304262,-145.017243410901,-42.8485341424711,FALSE,0.539004295688838,0.460995704311162,3.0063777549617e-23
1,100,1210,-100.26817120063,-98.6679971941882,-9.91190687943843,FALSE,0.689993091652548,0.310006908347452,1.6528416285455e-20
1,100,1211,-151.389664952926,-149.263376477554,-6.77623267553923,FALSE,0.743290954556571,0.256709045443429,2.9427341155989e-32
1,100,1212,-147.207044160839,-145.080755510554,-13.7630313852676,FALSE,0.743290971244075,0.256709028755925,7.83717711653371e-30
1,100,1213,-133.799104200923,-131.715365346376,-0.300790025920065,FALSE,0.739210552244302,0.260789447755698,7.58538385611084e-30
1,100,1214,-191.095460423678,-188.969166022801,-10.4586497746413,FALSE,0.743291519877524,0.256708480122476,4.42969812847653e-40
1,100,1215,-185.176821600693,-183.050532959364,-2.44649803183989,FALSE,0.743290970389677,0.256709029610323,1.55515347732922e-40
1,100,1216,-106.682544263845,-113.6448725912,-43.261349001564,FALSE,0.0298529451298524,0.970147054870147,5.04951438395389e-16
1,100,1217,-198.45553956239,-196.329247788321,9.02691981076129,FALSE,0.743291269267884,0.256708730732116,6.56017512132817e-46
1,100,1218,-161.204082421388,-159.077792052403,-10.2470717403573,FALSE,0.74329113521622,0.256708864783781,1.2338449320136e-33
1,100,1219,-200.051500426664,-197.925204713624,-34.5492368587487,FALSE,0.743291645063965,0.256708354936035,8.56641965850189e-37
1,100,1220,-139.954568119656,-137.939210218337,-12.2329478125806,FALSE,0.732565670544567,0.267434329455433,1.35035856489051e-28
1,100,1221,-159.577873410706,-157.451581989335,2.3353427510016,FALSE,0.743291235618734,0.256708764381266,5.15407636328679e-36
1,100,1222,-138.512047078621,-136.513515880477,-23.1485696918078,FALSE,0.73091416214429,0.26908583785571,6.50138007154173e-26
1,100,1223,-139.569272464813,-138.93304657034,-58.6081950907457,FALSE,0.578864294215533,0.421135705784467,1.52090534367571e-18
1,100,1224,-135.5877308312,-135.371656705334,-37.5612517686705,FALSE,0.526983025332425,0.473016974667575,2.72657317551312e-22
1,100,1225,-198.812083433624,-196.685792144404,-17.4256574737931,FALSE,0.743291223010903,0.256708776989097,3.04506846219196e-40
1,100,1226,-132.276168613847,-130.14987931355,-22.7355426934509,FALSE,0.743291033258293,0.256708966741707,1.21538592598533e-24
1,100,1227,-164.676636126689,-162.550344281596,-29.2690604828445,FALSE,0.743291276043866,0.256708723956134,2.9361455500437e-30
1,100,1228,-124.262333114961,-122.136044614199,-6.59809987190354,FALSE,0.743290956978912,0.256709043021088,2.09264346580791e-26
1,100,1229,-159.892418564148,-157.766128310497,-25.0967067171141,FALSE,0.743291124212802,0.256708875787198,3.98696136426965e-30
1,100,1230,-130.131127523239,-128.844137342773,-22.0726160285197,FALSE,0.655543102626042,0.344456897373958,2.24902156558694e-24
1,100,1231,-112.529035249925,-111.779413823584,-18.3439408154442,FALSE,0.592620902869931,0.407379097130069,2.09287635100865e-21
1,100,1232,-117.660691010771,-116.917886808988,7.94774403104174,FALSE,0.591797731944084,0.408202268055916,3.13796566143814e-28
1,100,1233,-151.909074958542,-149.834291318555,-7.80998799947261,FALSE,0.738346442576247,0.261653557423753,3.78042851184428e-32
1,100,1234,-159.595720311203,-157.469431581004,-8.72413249487937,FALSE,0.743290978868256,0.256709021131744,1.28768557194791e-33
1,100,1235,-186.800523243375,-185.094927644224,-30.7389875814029,FALSE,0.70115371524853,0.29884628475147,9.06737029577818e-35
1,100,1236,-153.696519868567,-151.570229006394,-18.0515897816263,FALSE,0.743291182268594,0.256708817731406,2.60757412754907e-30
1,100,1237,-167.714798542395,-166.881632252688,-11.9852328986372,FALSE,0.602665338030883,0.397334661969117,9.20090824640366e-35
1,100,1238,-97.4155735750342,-99.4746382265267,21.5517833940837,FALSE,0.263174782621032,0.736825217378968,3.86198821104086e-27
1,100,1239,-184.704328162358,-182.578044077759,-59.920532702586,FALSE,0.743290535655632,0.256709464344368,5.95253151478444e-28
1,100,1240,-181.206353118423,-179.387795129635,-11.6746453035104,FALSE,0.712852600048731,0.287147399951269,1.09561288753881e-37
1,100,1241,-149.175605506881,-147.049316996109,32.1108491594549,FALSE,0.743290957933848,0.256709042066152,3.20114537198251e-40
1,100,1242,-126.494995914948,-124.610900658426,-7.66935584930371,FALSE,0.719513083161885,0.280486916838115,1.13338849733496e-26
1,100,1243,-156.622345776745,-154.496056833467,1.48709053587865,FALSE,0.743290999196964,0.256709000803036,3.45247871750141e-35
1,100,1244,-174.865424130654,-172.739132048086,-43.2533171976837,FALSE,0.74329129870004,0.25670870129996,1.95863338346288e-29
1,100,1245,-115.420959919524,-113.988718595571,-22.2920264798948,FALSE,0.67175218906527,0.32824781093473,4.02270459129965e-21
1,100,1246,-169.013615461662,-166.981943835578,-12.7683432738513,FALSE,0.734160673055276,0.265839326944724,8.66086660287186e-35
1,100,1247,-149.036277366343,-147.329250841611,-32.8777997329751,FALSE,0.701303609727225,0.298696390272775,4.19192151762491e-26
1,100,1248,-169.833455035034,-167.707170550105,-17.7539160863829,FALSE,0.743290573849139,0.256709426150861,7.03892499299486e-34
1,100,1249,-132.288031264242,-131.505829075168,-7.48868985303503,FALSE,0.596547737265249,0.403452262734751,4.74037329358763e-28
1,100,1250,-192.624556827724,-191.021177614394,-23.3319226440198,FALSE,0.69033578831749,0.30966421168251,1.19572679707707e-37
1,100,1251,-100.453597637506,-103.256312076828,-32.2662973011876,FALSE,0.197600829505258,0.802399170494742,3.08393082131539e-16
1,100,1252,-117.135532676855,-116.674688730647,-11.6636996861564,FALSE,0.557351962418597,0.442648037581403,6.9696665810407e-24
1,100,1253,-155.187960043028,-153.371213817609,-31.8746961133089,FALSE,0.712667135962456,0.287332864037544,1.19056112359663e-27
1,100,1254,-76.9513151196776,-79.1658987972663,-18.1998666819293,FALSE,0.248376118186748,0.751623881813208,4.33905250272102e-14
1,100,1255,-126.164490544718,-124.344208479167,-2.58209565500016,FALSE,0.71302902155343,0.28697097844657,1.04119272816659e-27
1,100,1256,-174.946654780893,-172.820364441372,12.9023353981861,FALSE,0.743291132405205,0.256708867594795,1.20300939410383e-41
1,100,1257,-83.8341683884403,-85.8159232050295,-4.82256642266927,FALSE,0.270738807923032,0.729261192076968,1.88538107022817e-18
1,100,1258,-172.734389409797,-170.60809761961,-27.9089440930358,FALSE,0.743291270805493,0.256708729194507,2.64675146637977e-32
1,100,1259,-102.230008963837,-102.586407635988,-19.7834251674388,FALSE,0.455567682831152,0.544432317168848,5.69514402072488e-19
1,100,1260,-157.497380463164,-155.371091603391,-29.8835739954668,FALSE,0.743290991230242,0.256709008769758,1.44601529725571e-28
1,100,1261,-186.136164751182,-184.009873462994,-13.8409813458362,FALSE,0.743291222912511,0.256708777087489,2.86903138275813e-38
1,100,1262,-140.91031477578,-142.333013641394,-27.4902856817665,FALSE,0.329300733463021,0.670699266536979,7.74009536493072e-26
1,100,1263,-105.594015318735,-107.836629642235,-9.05216169566063,FALSE,0.245768898975723,0.754231101024277,2.67134372786514e-22
1,100,1264,-160.977567990694,-158.851278548012,-17.5698588860837,FALSE,0.743291046842564,0.256708953157436,5.37737765721416e-32
1,100,1265,-147.095058481421,-145.228930453264,-23.7981980767897,FALSE,0.717696493857816,0.282303506142184,1.20883707052536e-27
1,100,1266,-83.9391326069036,-82.1850567887065,15.0479591308506,FALSE,0.706208027261423,0.293791972738577,2.2602620282749e-22
1,100,1267,-111.622868317329,-110.360654193012,4.77443251256912,FALSE,0.652740442781087,0.347259557218913,3.46248413625862e-26
1,100,1268,-174.803197359093,-172.676908174951,-48.9835338064372,FALSE,0.743291022176509,0.256708977823491,3.54622338446433e-28
